tenure,age,address,income,ed,employ,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,cardten,voice,pager,internet,callwait,confer,ebill,loglong,logtoll,lninc,custcat,churn
69.0,46.0,18.0,66.0,2.0,19.0,0.0,1.0,0.0,21.85,0.0,0.0,46.5,0.0,1589.1,0.0,3265.0,0.0,0.0,0.0,0.0,0.0,0.0,3.084,3.24,4.19,2.0,0
26.0,55.0,13.0,61.0,1.0,26.0,0.0,1.0,0.0,4.25,29.0,0.0,12.0,0.0,102.45,729.15,300.0,0.0,0.0,0.0,1.0,1.0,0.0,1.447,3.367,4.111,3.0,0
71.0,56.0,23.0,170.0,1.0,30.0,0.0,1.0,0.0,14.2,27.0,0.0,30.0,0.0,1001.2,1840.65,2140.0,1.0,1.0,0.0,1.0,1.0,0.0,2.653,3.296,5.136,4.0,0
59.0,43.0,4.0,101.0,2.0,22.0,0.0,1.0,0.0,13.65,0.0,0.0,20.75,0.0,817.65,0.0,1195.0,0.0,0.0,0.0,0.0,1.0,0.0,2.614,3.24,4.615,2.0,0
17.0,19.0,0.0,18.0,2.0,0.0,1.0,0.0,0.0,7.1,0.0,24.95,0.0,0.0,120.35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.96,3.24,2.89,2.0,1
26.0,43.0,23.0,51.0,5.0,4.0,1.0,0.0,0.0,7.9,0.0,21.95,0.0,0.0,267.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.067,3.24,3.932,2.0,1
45.0,27.0,3.0,39.0,3.0,2.0,0.0,0.0,0.0,13.45,0.0,0.0,0.0,0.0,583.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.599,3.24,3.664,2.0,0
59.0,55.0,29.0,42.0,3.0,21.0,0.0,1.0,0.0,8.95,0.0,0.0,15.25,0.0,492.35,0.0,855.0,0.0,0.0,0.0,0.0,0.0,0.0,2.192,3.24,3.738,2.0,0
56.0,52.0,28.0,49.0,2.0,12.0,0.0,1.0,0.0,24.75,0.0,0.0,22.25,0.0,1349.05,0.0,1215.0,0.0,0.0,0.0,0.0,0.0,0.0,3.209,3.24,3.892,2.0,0
59.0,32.0,9.0,73.0,4.0,5.0,0.0,1.0,0.0,29.2,21.5,0.0,12.75,0.0,1726.6,1231.9,655.0,0.0,0.0,0.0,1.0,0.0,1.0,3.374,3.068,4.29,2.0,1
62.0,76.0,20.0,35.0,3.0,18.0,0.0,1.0,0.0,17.25,0.0,0.0,17.75,0.0,1045.7,0.0,1085.0,0.0,0.0,0.0,0.0,0.0,1.0,2.848,3.24,3.555,2.0,0
12.0,24.0,2.0,19.0,1.0,0.0,0.0,1.0,0.0,4.0,24.75,0.0,27.25,0.0,46.0,299.0,295.0,0.0,0.0,0.0,1.0,1.0,0.0,1.386,3.209,2.944,3.0,1
37.0,33.0,4.0,41.0,3.0,8.0,1.0,0.0,0.0,9.2,0.0,30.45,0.0,0.0,347.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.219,3.24,3.714,2.0,1
60.0,56.0,19.0,51.0,4.0,11.0,1.0,1.0,1.0,15.25,0.0,57.45,28.5,67.0,873.7,0.0,1630.0,1.0,1.0,1.0,1.0,1.0,1.0,2.725,3.24,3.932,4.0,0
32.0,34.0,0.0,38.0,1.0,10.0,0.0,1.0,0.0,7.35,0.0,0.0,19.25,0.0,217.45,0.0,600.0,0.0,0.0,0.0,0.0,0.0,1.0,1.995,3.24,3.638,2.0,0
34.0,63.0,10.0,23.0,2.0,0.0,1.0,1.0,1.0,14.3,19.5,39.6,15.25,28.95,459.05,616.5,495.0,1.0,1.0,1.0,1.0,1.0,1.0,2.66,2.97,3.135,4.0,0
57.0,37.0,11.0,108.0,4.0,9.0,1.0,1.0,0.0,21.8,27.25,42.0,8.0,0.0,1292.0,1492.1,425.0,0.0,0.0,1.0,1.0,1.0,0.0,3.082,3.305,4.682,3.0,0
68.0,42.0,16.0,89.0,4.0,12.0,1.0,1.0,0.0,25.6,0.0,33.0,16.0,0.0,1759.6,0.0,1020.0,0.0,0.0,1.0,0.0,0.0,1.0,3.243,3.24,4.489,2.0,0
